label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
vllm-optimized,completions,cold,128,1,0,0.029671460390090942,0.28061027079820633,16
vllm-optimized,completions,cold,128,1,1,0.029627017676830292,0.28042327612638474,16
vllm-optimized,completions,cold,128,1,2,0.028854943811893463,0.2796139121055603,16
vllm-optimized,completions,cold,128,1,3,0.02907010167837143,0.2802622392773628,16
vllm-optimized,completions,cold,128,1,4,0.029266521334648132,0.28017963469028473,16
vllm-optimized,completions,cold,128,1,5,0.029774345457553864,0.2802894413471222,16
vllm-optimized,completions,cold,128,1,6,0.029077261686325073,0.2796376869082451,16
vllm-optimized,completions,cold,128,1,7,0.02898796647787094,0.27997589856386185,16
vllm-optimized,completions,cold,128,1,8,0.03344028443098068,0.28390389680862427,16
vllm-optimized,completions,cold,128,1,9,0.029401816427707672,0.27985937893390656,16
vllm-optimized,completions,cold,128,1,10,0.028819158673286438,0.27939438819885254,16
vllm-optimized,completions,cold,128,1,11,0.029097281396389008,0.279661200940609,16
vllm-optimized,completions,cold,128,1,12,0.029490604996681213,0.27999812364578247,16
vllm-optimized,completions,cold,128,1,13,0.02887684851884842,0.27988090366125107,16
vllm-optimized,completions,cold,128,1,14,0.02885742485523224,0.27982882410287857,16
vllm-optimized,completions,cold,128,1,15,0.029941357672214508,0.2808898165822029,16
vllm-optimized,completions,cold,128,1,16,0.029236942529678345,0.2801375091075897,16
vllm-optimized,completions,cold,128,1,17,0.028990261256694794,0.2799207642674446,16
vllm-optimized,completions,cold,128,1,18,0.029296405613422394,0.28003647923469543,16
vllm-optimized,completions,cold,128,1,19,0.02927115559577942,0.28016579151153564,16
vllm-optimized,completions,cold,128,1,20,0.028942637145519257,0.27981700003147125,16
vllm-optimized,completions,cold,128,1,21,0.02888800948858261,0.27978578954935074,16
vllm-optimized,completions,cold,128,1,22,0.029189079999923706,0.2799490988254547,16
vllm-optimized,completions,cold,128,1,23,0.029593899846076965,0.28043218702077866,16
vllm-optimized,completions,cold,128,4,0,0.0412885919213295,0.30636924505233765,16
vllm-optimized,completions,cold,128,4,3,0.07817983627319336,0.3219100907444954,16
vllm-optimized,completions,cold,128,4,1,0.07843326777219772,0.3226623609662056,16
vllm-optimized,completions,cold,128,4,2,0.0782713070511818,0.32275349646806717,16
vllm-optimized,completions,cold,128,4,4,0.04277770221233368,0.3090139180421829,16
vllm-optimized,completions,cold,128,4,5,0.06389115005731583,0.3092629984021187,16
vllm-optimized,completions,cold,128,4,6,0.06360159814357758,0.309250183403492,16
vllm-optimized,completions,cold,128,4,7,0.06328979134559631,0.30924703925848007,16
vllm-optimized,completions,cold,128,4,8,0.043871618807315826,0.30855537950992584,16
vllm-optimized,completions,cold,128,4,9,0.06349091231822968,0.3088335543870926,16
vllm-optimized,completions,cold,128,4,10,0.06327588856220245,0.3088620528578758,16
vllm-optimized,completions,cold,128,4,11,0.06292900443077087,0.30895058810710907,16
vllm-optimized,completions,cold,128,4,12,0.0463157594203949,0.3096127584576607,16
vllm-optimized,completions,cold,128,4,13,0.06449294835329056,0.3088352009654045,16
vllm-optimized,completions,cold,128,4,14,0.06440868228673935,0.3088400885462761,16
vllm-optimized,completions,cold,128,4,15,0.0639895424246788,0.30876723676919937,16
vllm-optimized,completions,cold,128,4,16,0.03739830106496811,0.30852795392274857,16
vllm-optimized,completions,cold,128,4,17,0.07947047799825668,0.3252626284956932,16
vllm-optimized,completions,cold,128,4,18,0.07925431430339813,0.32527758181095123,16
vllm-optimized,completions,cold,128,4,19,0.07890648394823074,0.3253233879804611,16
vllm-optimized,completions,cold,128,4,20,0.05136745423078537,0.32300619035959244,16
vllm-optimized,completions,cold,128,4,21,0.07765068858861923,0.3231007978320122,16
vllm-optimized,completions,cold,128,4,22,0.0774364322423935,0.3228723108768463,16
vllm-optimized,completions,cold,128,4,23,0.07704731822013855,0.3227102756500244,16
vllm-optimized,completions,cold,128,16,0,0.09017469733953476,0.4537883400917053,16
vllm-optimized,completions,cold,128,16,6,0.1693793460726738,0.47157474607229233,16
vllm-optimized,completions,cold,128,16,8,0.1693430244922638,0.47180887311697006,16
vllm-optimized,completions,cold,128,16,10,0.16942475736141205,0.4719861224293709,16
vllm-optimized,completions,cold,128,16,14,0.16918014734983444,0.47229906916618347,16
vllm-optimized,completions,cold,128,16,5,0.1697094663977623,0.47312131524086,16
vllm-optimized,completions,cold,128,16,9,0.1696843057870865,0.4731582924723625,16
vllm-optimized,completions,cold,128,16,2,0.17024151980876923,0.47397953271865845,16
vllm-optimized,completions,cold,128,16,12,0.1696058213710785,0.47355998307466507,16
vllm-optimized,completions,cold,128,16,3,0.17027122527360916,0.4742111712694168,16
vllm-optimized,completions,cold,128,16,1,0.17043567448854446,0.47446443885564804,16
vllm-optimized,completions,cold,128,16,13,0.16913583874702454,0.4736294522881508,16
vllm-optimized,completions,cold,128,16,7,0.22428303956985474,0.4854792281985283,16
vllm-optimized,completions,cold,128,16,11,0.2241501286625862,0.4853999614715576,16
vllm-optimized,completions,cold,128,16,4,0.22531450539827347,0.4860077574849129,16
vllm-optimized,completions,cold,128,16,15,0.22434884309768677,0.4853222742676735,16
vllm-optimized,completions,cold,128,16,16,0.05149783194065094,0.37413330376148224,16
vllm-optimized,completions,cold,128,16,17,0.13534566015005112,0.3896024152636528,16
vllm-optimized,completions,cold,128,16,18,0.13507653027772903,0.3893745020031929,16
vllm-optimized,completions,cold,128,16,20,0.13433106988668442,0.3888370767235756,16
vllm-optimized,completions,cold,128,16,21,0.13410727679729462,0.3886507377028465,16
vllm-optimized,completions,cold,128,16,22,0.13389195501804352,0.3884676694869995,16
vllm-optimized,completions,cold,128,16,23,0.1336236149072647,0.3882303014397621,16
vllm-optimized,completions,cold,128,16,19,0.13516586273908615,0.38970109075307846,16
vllm-optimized,completions,cold,512,1,0,0.05890549719333649,0.31544020771980286,16
vllm-optimized,completions,cold,512,1,1,0.057447515428066254,0.31369271874427795,16
vllm-optimized,completions,cold,512,1,2,0.058721452951431274,0.31537339836359024,16
vllm-optimized,completions,cold,512,1,3,0.05914223939180374,0.3156835213303566,16
vllm-optimized,completions,cold,512,1,4,0.056734710931777954,0.3104804754257202,16
vllm-optimized,completions,cold,512,1,5,0.05838722735643387,0.3145858496427536,16
vllm-optimized,completions,cold,512,1,6,0.05888865888118744,0.31551748514175415,16
vllm-optimized,completions,cold,512,1,7,0.05809697508811951,0.31454815715551376,16
vllm-optimized,completions,cold,512,1,8,0.05681733787059784,0.31068866699934006,16
vllm-optimized,completions,cold,512,1,9,0.05998089909553528,0.3165156915783882,16
vllm-optimized,completions,cold,512,1,10,0.058572545647621155,0.31521929055452347,16
