-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     l2norm_fwd_kernel2         0.00%       0.000us         0.00%       0.000us       0.000us       2.993ms         0.30%       2.993ms      31.182us            96  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.762ms         0.28%       2.762ms       2.762ms             1  
## Call CompiledFxGraph f55dj6cvav5ln2hexxcz77p7csxy...         0.00%       0.000us         0.00%       0.000us       0.000us       2.743ms         0.28%       2.743ms       2.743ms             1  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.01%     208.402us         0.02%     354.693us      22.168us       2.344ms         0.24%       2.344ms     146.475us            16  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.00%       0.000us         0.00%       0.000us       0.000us       2.344ms         0.24%       2.344ms     146.475us            16  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.303ms         0.23%       2.303ms      47.984us            48  
                       Runtime Triggered Module Loading         5.28%      83.261ms         5.28%      83.261ms      13.877ms       2.161ms         0.22%       2.161ms     360.227us             6  
                                     triton_poi_fused_8         0.02%     287.886us         0.03%     402.576us      25.161us       2.144ms         0.22%       2.144ms     133.977us            16  
                                     triton_poi_fused_8         0.00%       0.000us         0.00%       0.000us       0.000us       2.144ms         0.22%       2.144ms     133.977us            16  
triton_red_fused__to_copy_add_mean_mul_per_token_gro...         0.01%     201.480us         0.02%     309.081us      19.318us       2.009ms         0.20%       2.009ms     125.585us            16  
triton_red_fused__to_copy_add_mean_mul_per_token_gro...         0.00%       0.000us         0.00%       0.000us       0.000us       2.009ms         0.20%       2.009ms     125.585us            16  
                                     triton_poi_fused_5         0.04%     678.530us         0.07%       1.048ms      21.841us       1.471ms         0.15%       1.475ms      30.726us            48  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us       1.471ms         0.15%       1.471ms      30.640us            48  
                                     triton_red_fused_6         0.01%     161.330us         0.02%     256.242us      16.015us       1.329ms         0.13%       1.329ms      83.059us            16  
                                     triton_red_fused_6         0.00%       0.000us         0.00%       0.000us       0.000us       1.329ms         0.13%       1.329ms      83.059us            16  
                               triton_poi_fused_zeros_6         0.02%     294.496us         2.03%      31.922ms     997.550us       1.172ms         0.12%       1.638ms      51.182us            32  
                               triton_poi_fused_zeros_6         0.00%       0.000us         0.00%       0.000us       0.000us       1.172ms         0.12%       1.172ms      36.629us            32  
                                fused_gdn_gating_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     904.427us         0.09%     904.427us      18.842us            48  
              triton_per_fused__to_copy_mean_pow_view_0         0.05%     757.887us         0.24%       3.725ms      77.602us     758.565us         0.08%     925.416us      19.279us            48  
              triton_per_fused__to_copy_mean_pow_view_0         0.00%       0.000us         0.00%       0.000us       0.000us     758.565us         0.08%     758.565us      15.803us            48  
                  _C_cache_ops::reshape_and_cache_flash         0.01%     124.990us         0.07%       1.104ms      69.001us     679.527us         0.07%     945.674us      59.105us            16  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     679.527us         0.07%     679.527us      42.470us            16  
                                            aten::fill_         0.02%     357.710us         0.13%       2.003ms      29.459us     590.212us         0.06%     664.997us       9.779us            68  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     582.470us         0.06%     582.470us      12.135us            48  
                               triton_poi_fused_zeros_5         0.01%     115.320us         0.85%      13.458ms     897.210us     558.979us         0.06%     753.987us      50.266us            15  
                               triton_poi_fused_zeros_5         0.00%       0.000us         0.00%       0.000us       0.000us     558.979us         0.06%     558.979us      37.265us            15  
                                            aten::index         0.06%     988.732us         0.89%      13.954ms     279.080us     468.673us         0.05%     682.626us      13.653us            50  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     462.433us         0.05%     462.433us       9.437us            49  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     425.797us         0.04%     425.797us       8.871us            48  
                                 aten::_index_put_impl_         0.06%     963.893us         3.35%      52.727ms     549.239us     419.300us         0.04%     792.967us       8.260us            96  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     419.300us         0.04%     419.300us       8.735us            48  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     277.538us         0.03%     277.538us     277.538us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     256.449us         0.03%     256.449us       2.590us            99  
                                     aten::masked_fill_         0.03%     484.459us         3.15%      49.721ms       1.036ms     202.593us         0.02%     238.850us       4.976us            48  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     202.593us         0.02%     202.593us       4.221us            48  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     193.412us         0.02%     193.412us       4.029us            48  
                                     triton_red_fused_1         0.00%      14.890us         0.00%      22.930us      22.930us     102.113us         0.01%     102.113us     102.113us             1  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     102.113us         0.01%     102.113us     102.113us             1  
                                      aten::bitwise_not         0.02%     322.788us         0.98%      15.450ms     321.872us      90.050us         0.01%     123.522us       2.573us            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      90.050us         0.01%      90.050us       1.876us            48  
triton_poi_fused_clone_copy_index_select_slice_split...         0.01%     189.281us         0.02%     315.502us      19.719us      63.650us         0.01%      63.650us       3.978us            16  
triton_poi_fused_clone_copy_index_select_slice_split...         0.00%       0.000us         0.00%       0.000us       0.000us      63.650us         0.01%      63.650us       3.978us            16  
                                     triton_poi_fused_0         0.00%      26.610us         0.00%      38.300us      38.300us      45.728us         0.00%      45.728us      45.728us             1  
                                     triton_poi_fused_0         0.00%       0.000us         0.00%       0.000us       0.000us      45.728us         0.00%      45.728us      45.728us             1  
                                     triton_poi_fused_4         0.01%     190.272us         0.02%     342.951us      22.863us      30.783us         0.00%      41.439us       2.763us            15  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us      30.783us         0.00%      30.783us       2.052us            15  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      21.760us         0.00%      21.760us       5.440us             4  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      13.696us         0.00%      13.696us       1.141us            12  
                                           aten::argmax         0.00%      32.020us         0.00%      53.340us      53.340us      12.064us         0.00%      12.064us      12.064us             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      11.392us         0.00%      11.392us      11.392us             1  
                                              aten::sub         0.01%     216.184us         0.02%     319.574us      18.798us      10.880us         0.00%      11.872us       0.698us            17  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.880us         0.00%      10.880us       1.209us             9  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.168us         0.00%       7.168us       1.792us             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.814us         0.00%       6.814us       0.973us             7  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.240us         0.00%       6.240us       6.240us             1  
                                              aten::add         0.01%     103.760us         0.01%     181.700us      36.340us       5.344us         0.00%       6.688us       1.338us             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.344us         0.00%       5.344us       1.336us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.608us         0.00%       4.608us       4.608us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.416us         0.00%       4.416us       1.104us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.128us         0.00%       4.128us       1.032us             4  
                                               aten::gt         0.00%      64.281us         0.01%     142.421us      47.474us       3.552us         0.00%       4.928us       1.643us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.576s
Self CUDA time total: 990.376ms

